-41,41,10,10,0,0,
-41,41,10,10,0,0,
-40,40,9,9,0,0,
-39,39,9,9,0,0,
-38,38,9,9,0,0,
-38,38,9,9,0,0,
-37,37,8,8,0,0,
-36,36,8,8,0,0,
-36,36,8,8,0,0,
-35,35,7,8,1,0,
-34,34,7,7,0,0,
-33,33,7,7,0,0,
-33,33,7,7,1,0,
-32,32,7,7,1,0,
-31,31,6,7,1,0,
-31,31,6,7,1,0,
-30,30,6,7,1,0,
-29,29,6,6,1,0,
-29,29,5,6,1,0,
-28,28,5,6,1,0,
-27,27,5,6,1,0,
-27,27,5,6,1,0,
-26,26,5,6,1,0,
-25,25,5,5,1,0,
-25,25,4,6,1,0,
-24,24,4,5,1,0,
-24,24,4,5,1,0,
-23,23,4,5,1,0,
-22,22,4,5,1,0,
-22,22,4,5,1,0,
-21,21,3,5,1,0,
-20,20,3,5,1,0,
-20,20,3,5,1,0,
-19,19,3,5,1,0,
-19,19,3,4,1,0,
-18,18,3,4,1,0,
-17,17,3,4,1,0,
-17,17,3,4,1,0,
-16,16,2,4,1,0,
-16,16,2,4,1,0,
-15,15,2,4,2,0,
-14,14,2,4,1,0,
-14,14,2,3,1,0,
-13,13,2,3,1,0,
-13,13,2,3,1,0,
-12,12,2,3,1,0,
-11,11,2,3,1,0,
-11,11,2,3,1,0,
-10,10,2,3,2,0,
-10,10,2,3,2,0,
-9,9,2,3,1,0,
-8,8,1,3,2,0,
-8,8,1,3,2,0,
-7,7,1,3,1,0,
-7,7,1,3,2,0,
-6,6,1,3,2,0,
-6,6,1,3,1,0,
-5,5,1,3,2,0,
-4,4,1,2,1,0,
-4,4,1,3,1,0,
-3,3,1,3,1,0,
-3,3,1,3,1,0,
-2,2,1,2,1,0,
-1,1,1,3,2,0,
-1,1,1,2,1,0,
0,0,1,3,2,0,
0,0,1,3,2,0,
1,-1,1,2,1,0,
1,-1,1,3,2,0,
2,-2,1,2,1,0,
3,-3,1,3,1,0,
3,-3,1,3,1,0,
4,-4,1,3,1,0,
4,-4,1,2,1,0,
5,-5,1,3,2,0,
6,-6,1,3,1,0,
6,-6,1,3,2,0,
7,-7,1,3,2,0,
7,-7,1,3,1,0,
8,-8,1,3,2,0,
8,-8,1,3,2,0,
9,-9,2,3,1,0,
10,-10,2,3,2,0,
10,-10,2,3,2,0,
11,-11,2,3,1,0,
11,-11,2,3,1,0,
12,-12,2,3,1,0,
13,-13,2,3,1,0,
13,-13,2,3,1,0,
14,-14,2,3,1,0,
14,-14,2,4,1,0,
15,-15,2,4,2,0,
16,-16,2,4,1,0,
16,-16,2,4,1,0,
17,-17,3,4,1,0,
17,-17,3,4,1,0,
18,-18,3,4,1,0,
19,-19,3,4,1,0,
19,-19,3,5,1,0,
20,-20,3,5,1,0,
20,-20,3,5,1,0,
21,-21,3,5,1,0,
22,-22,4,5,1,0,
22,-22,4,5,1,0,
23,-23,4,5,1,0,
24,-24,4,5,1,0,
24,-24,4,5,1,0,
25,-25,4,6,1,0,
25,-25,5,5,1,0,
26,-26,5,6,1,0,
27,-27,5,6,1,0,
27,-27,5,6,1,0,
28,-28,5,6,1,0,
29,-29,5,6,1,0,
29,-29,6,6,1,0,
30,-30,6,7,1,0,
31,-31,6,7,1,0,
31,-31,6,7,1,0,
32,-32,7,7,1,0,
33,-33,7,7,1,0,
33,-33,7,7,0,0,
34,-34,7,7,0,0,
35,-35,7,8,1,0,
36,-36,8,8,0,0,
36,-36,8,8,0,0,
37,-37,8,8,0,0,
38,-38,9,9,0,0,
38,-38,9,9,0,0,
39,-39,9,9,0,0,
40,-40,9,9,0,0,
41,-41,10,10,0,0,
41,-41,10,10,0,0,
42,-42,10,10,0,0,
43,-43,11,11,0,0,
44,-44,11,11,0,0,
45,-45,11,11,0,0,
45,-45,12,12,0,0,
46,-46,12,12,0,0,
47,-47,13,13,0,0,
